clientID,Holding Count,Total Value,Median Return,Average Return,CashPct,ACWI/AGG
391,24,957866.49,3510.3,12480.238620689655,1.852335391751725,692597.64
397,20,1698799.02,1785.8200000000002,6877.509117647059,6.817910690812619,573402.28
398,13,14558781.64,2023.47,24345.245384615384,1.182441046625932,9975521.39
400,18,207949358.92,-35.86,3930617.0729411766,0.3207924292070715,8170620.42
402,39,1185019.12,591.68,5684.573247169811,1.7393449314134273,497981.08
404,16,5398241.66,34520.7565,100287.14566428572,28.06230112343655,1.0
405,17,1818664.32,11029.1335,40394.03967333333,1.2758440216169191,1.0
406,20,6304787.76,36268.5975,158599.2873764706,4.246567849573418,1.0
415,17,15023368.49,130699.8509,362795.5091933334,3.709540642439504,1.0
416,19,6104189.37,47794.86515,230199.08838125,1.0680849830843304,1.0
419,17,12276694.98,84668.847,366746.3210333333,2.292776194721424,1.0
420,19,1030375.55,4920.11625,18266.498675,20.228280843814662,1.0
422,16,2931678.73,63686.16985,152504.48086428572,1.7111288316370192,1.0
424,17,1064951.9300000002,4804.3459,22398.267473333333,6.569970721589283,1.0
428,21,27573510.84,190431.9031,916398.808211111,9.34785270891532,1.0
429,21,183978036.13,1529831.042,7159221.598405882,2.130613160383016,1.0
430,19,7180835.09,12106.15025,65805.19948125,3.6591946021141672,1.0
431,15,7814061.59,52877.7614,396660.31586153846,2.683010206475734,1.0
433,16,2618379.42,34099.2093,84461.48602857142,0.4688697866407765,1.0
436,20,9215530.29,25929.6605,116101.9217,1.9209211453853297,1.0
437,16,2495821.21,31100.2091,69147.97012857143,2.439281698387361,1.0
439,17,2386409.14,26988.8155,86786.95154285713,1.95704748264583,1.0
440,20,14402354.37,80664.3643,245451.5691117647,8.261607716572245,1.0
441,19,17157466.73,172671.2597,496808.6086,0.583846156174362,1.0
444,17,3071782.93,34885.13905,81766.5811,4.643075153751179,1.0
447,20,15874437.38,127823.9041,365181.6754176471,3.5118219729939177,1.0
450,16,2116460.94,17576.1185,60180.894857142855,0.9812007208599844,1.0
452,18,4493070.74,54464.6635,133944.65862666667,1.5557927761448953,1.0
454,26,10783353.76,31377.68945,124880.54285,3.052380523960479,1.0
455,18,6254185.95,40208.9786,158898.6713,1.457771814411754,1.0
456,17,887555.27,1927.8589,6656.22174,32.85880551416251,1.0
459,20,6618736.87,29882.8789,117081.6707117647,7.273237317863038,1.0
462,17,14673737.13,241594.6676,428896.89959333336,1.7369331871082798,1.0
466,17,1393584.56,17934.2582,43321.12136428571,9.415028249164871,1.0
468,20,2392783.23,16801.0088,60301.006475,12.62261019774867,1.0
477,17,3238532.92,34858.07225,83314.13658571428,2.046448859318682,1.0
478,18,15894170.55,118615.7778,397280.75803333335,0.9615731724987688,1.0
479,22,867217.71,1031.78,5471.915151515151,0.0,325824.85
480,18,4822114.59,23023.6985,97937.31428666667,0.876404307928319,1.0
483,21,724849.87,1553.855,2485.6935,2.3976137293092155,238087.52000000002
484,28,993643.73,3550.08,9704.675185185186,3.3578745573124085,501216.35
